72902,DUBLIN ISD,1146,1146,1089,1193
72903,STEPHENVILLE ISD,3678,3730,3695,3670
72904,BLUFF DALE ISD,221,242,228,189
72908,HUCKABAY ISD,330,313,305,237
72909,LINGLEVILLE ISD,274,282,284,275
72910,MORGAN MILL ISD,122,117,119,124
73901,CHILTON ISD,572,553,547,506
73903,MARLIN ISD,903,926,882,837
73904,WESTPHALIA ISD,156,154,155,156
73905,ROSEBUD-LOTT ISD,756,755,720,636
74903,BONHAM ISD,1974,1899,1887,1872
74904,DODD CITY ISD,320,331,328,374
74905,ECTOR ISD,252,230,234,228
74907,HONEY GROVE ISD,618,617,640,620
74909,LEONARD ISD,814,814,827,920
74911,SAVOY ISD,302,319,306,317
74912,TRENTON ISD,700,699,725,568
74917,SAM RAYBURN ISD,484,506,518,544
75901,FLATONIA ISD,659,661,630,565
75902,LA GRANGE ISD,1926,1883,1873,1980
75903,SCHULENBURG ISD,663,687,700,760
75906,FAYETTEVILLE ISD,290,302,279,258
75908,ROUND TOP-CARMINE ISD,240,254,241,266
76903,ROBY CISD,307,319,330,302
76904,ROTAN ISD,271,262,242,258
77901,FLOYDADA COLLEGIATE ISD,681,684,687,760
77902,LOCKNEY ISD,404,407,433,459
78901,CROWELL ISD,196,197,192,215
79901,LAMAR CISD,44512,42461,39579,32146
79906,NEEDVILLE ISD,3598,3553,3385,3228
79907,FORT BEND ISD,80206,79660,77545,75275
79910,STAFFORD MSD,3479,3641,3513,3607
80901,MOUNT VERNON ISD,1563,1571,1528,1625
81902,FAIRFIELD ISD,1670,1662,1687,1817
81904,TEAGUE ISD,1251,1216,1183,1233
81905,WORTHAM ISD,537,552,520,510
81906,DEW ISD,181,137,133,155
82902,DILLEY ISD,868,899,909,981
82903,PEARSALL ISD,2023,2026,2042,2288
83901,SEAGRAVES ISD,512,505,519,544
83902,LOOP ISD,143,157,151,155
83903,SEMINOLE ISD,2986,3011,2961,2895
84802,ODYSSEY ACADEMY INC,1547,1573,1493,1150
84804,AMBASSADORS PREPARATORY ACADEMY,162,170,190,308
84901,DICKINSON ISD,12592,12360,11933,10935
84902,GALVESTON ISD,6446,6486,6661,7017
84903,HIGH ISLAND ISD,159,151,158,142
84906,TEXAS CITY ISD,7874,7890,7811,8850
84908,HITCHCOCK ISD,1899,1841,1717,1649
84909,SANTA FE ISD,4397,4343,4365,4797
84910,CLEAR CREEK ISD,40132,40693,40832,42152
84911,FRIENDSWOOD ISD,6210,6213,6180,6071
85902,POST ISD,705,741,786,871
85903,SOUTHLAND ISD,127,126,115,132
86024,DOSS CONSOLIDATED CSD,0,0,0,25
86901,FREDERICKSBURG ISD,3005,3094,3121,3204
86902,HARPER ISD,612,584,560,592
87901,GLASSCOCK COUNTY ISD,292,295,293,313
88902,GOLIAD ISD,1280,1312,1315,1341
89901,GONZALES ISD,2541,2605,2614,2848
89903,NIXON-SMILEY CISD,1011,1045,1065,1078
89905,WAELDER ISD,297,290,305,321
90902,LEFORS ISD,188,187,177,154
90903,MCLEAN ISD,189,198,187,251
90904,PAMPA ISD,3326,3441,3460,3579
90905,GRANDVIEW-HOPKINS ISD,50,44,46,49
91901,BELLS ISD,986,963,885,822
91902,COLLINSVILLE ISD,574,537,560,546
91903,DENISON ISD,4940,4868,4677,4658
91905,HOWE ISD,1282,1283,1249,1164
91906,SHERMAN ISD,7843,7767,7719,7497
91907,TIOGA ISD,688,719,706,603
91908,VAN ALSTYNE ISD,2419,2285,2048,1598
91909,WHITESBORO ISD,1773,1712,1720,1582
91910,WHITEWRIGHT ISD,794,788,755,854
91913,POTTSBORO ISD,1441,1489,1434,1436
91914,S AND S CISD,955,943,991,917
91917,GUNTER ISD,1140,1158,1115,932
91918,TOM BEAN ISD,654,666,657,667
92801,EAST TEXAS CHARTER SCHOOLS,128,136,141,140
92901,GLADEWATER ISD,1708,1755,1703,1782
92902,KILGORE ISD,3725,3821,3887,4076
92903,LONGVIEW ISD,8104,8274,8236,8571
92904,PINE TREE ISD,4434,4611,4682,4678
92906,SABINE ISD,1580,1563,1531,1473
92907,SPRING HILL ISD,1987,2071,2038,1966
92908,WHITE OAK ISD,1415,1440,1466,1520
93901,ANDERSON-SHIRO CISD,966,934,887,860
93903,IOLA ISD,610,587,545,502
93904,NAVASOTA ISD,3030,2977,2991,3047
93905,RICHARDS ISD,235,222,213,163
94901,SEGUIN ISD,7314,7239,7064,7467
94902,SCHERTZ-CIBOLO-U CITY ISD,15146,15528,15890,15653
94903,NAVARRO ISD,2438,2180,1992,1911
94904,MARION ISD,1570,1527,1475,1474
95901,ABERNATHY ISD,812,835,825,767
95902,COTTON CENTER ISD,105,100,99,117
95903,HALE CENTER ISD,586,585,599,609
95904,PETERSBURG ISD,274,272,276,273
95905,PLAINVIEW ISD,4277,4662,4752,5528
96904,MEMPHIS ISD,400,432,442,503
96905,TURKEY-QUITAQUE ISD,191,183,193,201
97902,HAMILTON ISD,855,817,833,850
97903,HICO ISD,643,623,604,592
98901,GRUVER ISD,433,441,422,429
98903,PRINGLE-MORSE CISD,119,107,129,127
98904,SPEARMAN ISD,724,743,786,883
99902,CHILLICOTHE ISD,196,202,199,219
99903,QUANAH ISD,469,462,498,531
100903,KOUNTZE ISD,1143,1115,1127,1159
100904,SILSBEE ISD,2654,2772,2718,2928
100905,HARDIN-JEFFERSON ISD,2754,2697,2609,2248
100907,LUMBERTON ISD,4197,4195,4202,3986
100908,WEST HARDIN COUNTY CISD,541,552,568,564
101802,SER-NINOS CHARTER SCHOOL,1154,1113,1009,1107
101803,ARISTOI CLASSICAL ACADEMY,1535,1316,1219,856
101804,GEORGE I SANCHEZ CHARTER,1125,962,947,916
101806,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,1888,1771,1563,1289
101810,ACADEMY OF ACCELERATED LEARNING INC,830,850,0,715
101811,EXCEL ACADEMY,234,255,217,478
101814,THE VARNETT PUBLIC SCHOOL,1142,1085,1137,1474
101815,ALIEF MONTESSORI COMMUNITY SCHOOL,384,370,349,285
101819,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,694,567,560,513
101821,HOUSTON HEIGHTS HIGH SCHOOL,179,173,175,204
101828,HOUSTON GATEWAY ACADEMY INC,2157,2128,2082,2267
101837,CALVIN NELMS CHARTER SCHOOLS,324,313,304,311
101838,SOUTHWEST PUBLIC SCHOOLS,1625,1578,1527,2025
101840,TWO DIMENSIONS PREPARATORY ACADEMY,435,464,439,536
101842,COMQUEST ACADEMY,51,54,44,75
101845,YES PREP PUBLIC SCHOOLS INC,17622,16366,14562,10895
101846,HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,3646,3501,3584,3434
101847,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,458,497,462,445
101849,ACCELERATED INTERMEDIATE ACADEMY,192,138,214,269
101853,BAKERRIPLEY COMMUNITY SCHOOLS,1824,1790,1722,1913
101855,MEYERPARK CHARTER,293,274,272,245
101856,DRAW ACADEMY,677,678,692,653
101858,HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,7107,6731,5896,4993
101859,STEP CHARTER SCHOOL,598,569,558,474
101861,THE RHODES SCHOOL FOR PERFORMING ARTS,575,590,607,1177
101862,HARMONY PUBLIC SCHOOLS - HOUSTON WEST,5823,5405,4092,3433
101864,THE LAWSON ACADEMY,195,134,169,233
101868,THE PRO-VISION ACADEMY,395,370,397,403
101870,BETA ACADEMY,1486,1432,1298,549
101871,A+ UNLIMITED POTENTIAL,150,156,145,155
101872,ETOILE ACADEMY CHARTER SCHOOL,806,512,341,.
101873,YELLOWSTONE COLLEGE PREPARATORY,272,199,157,.
101874,LEGACY SCHOOL OF SPORT SCIENCES,487,447,370,.
101875,BLOOM ACADEMY CHARTER SCHOOL,400,339,193,.
101876,REVE PREPARATORY CHARTER SCHOOL,218,230,165,.
101877,ELEVATE COLLEGIATE CHARTER SCHOOL,174,117,55,.
101878,HOUSTON CLASSICAL CHARTER SCHOOL,285,185,131,.
101902,ALDINE ISD,57844,60074,61633,67331
101903,ALIEF ISD,39474,40329,40664,46263
101905,CHANNELVIEW ISD,9434,9520,9509,9649
101906,CROSBY ISD,6868,6717,6480,6154
101907,CYPRESS-FAIRBANKS ISD,118470,118010,117217,116401
101908,DEER PARK ISD,12122,12263,12345,13032
101910,GALENA PARK ISD,21105,21392,21431,22591
101911,GOOSE CREEK CISD,24108,24431,23908,23795
101912,HOUSTON ISD,184109,189934,194607,214175
101913,HUMBLE ISD,48552,48758,48112,42391
101914,KATY ISD,94785,92667,88368,77522
101915,KLEIN ISD,53093,53712,53294,53068
101916,LA PORTE ISD,7115,7100,6938,7588
