State,Region,County,District,District Name,Charter Status,Superintendent,Base Pay,FTE Salary,Enrollment,FTE
TX,18,PRESIDIO COUNTY,189901,MARFA ISD,TRADITIONAL ISD/CSD,"ALFEREZ, ARTURO","$64,558.00","$85,001.00",194,0.76
TX,16,GRAY COUNTY,90902,LEFORS ISD,TRADITIONAL ISD/CSD,"BRAUCHI, ASHLEY NICOLE","$83,200.00","$83,200.00",173,1
TX,11,COOKE COUNTY,49906,ERA ISD,TRADITIONAL ISD/CSD,"ELDRIDGE, CURTIS A","$81,770.00","$81,770.00",499,1
TX,15,BROWN COUNTY,25904,BLANKET ISD,TRADITIONAL ISD/CSD,"WHISENHUNT, DAVID RAY","$80,325.00","$80,325.00",166,1
TX,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,"STEVENS, TERRY L","$80,000.00","$80,000.00",141,1
TX,7,RUSK COUNTY,201903,LANEVILLE ISD,TRADITIONAL ISD/CSD,"YOUNG, TERRY WYNN","$8,992.00","$79,575.00",139,0.11
TX,8,BOWIE COUNTY,19913,HUBBARD ISD,TRADITIONAL ISD/CSD,"PATE, JOHNNY MACK","$4,078.00","$76,082.00",64,0.05
TX,14,JONES COUNTY,127905,LUEDERS-AVOCA ISD,TRADITIONAL ISD/CSD,"SPIKES, BOB FORD","$72,600.00","$72,600.00",88,1
TX,15,VAL VERDE COUNTY,233903,COMSTOCK ISD,TRADITIONAL ISD/CSD,"WINEINGER, LANCE ADAM","$65,000.00","$65,000.00",176,1
TX,14,CALLAHAN COUNTY,30906,EULA ISD,TRADITIONAL ISD/CSD,"KELLEY, TIMOTHY D","$60,000.00","$60,000.00",503,1
TX,16,SWISHER COUNTY,219901,HAPPY ISD,TRADITIONAL ISD/CSD,"EDGEMON, TREVOR","$54,000.00","$54,000.00",253,1
TX,18,PRESIDIO COUNTY,189902,PRESIDIO ISD,TRADITIONAL ISD/CSD,"RUBNER, CARMEN E","$20,000.00","$40,000.00",1085,0.5
TX,11,JOHNSON COUNTY,126907,RIO VISTA ISD,TRADITIONAL ISD/CSD,"HANKS, JEFFREY MARK","$16,067.00","$34,538.00",1032,0.47
TX,9,WILBARGER COUNTY,244903,VERNON ISD,TRADITIONAL ISD/CSD,"WARD, KERMIT D","$17,811.00","$17,811.00",1729,1
TX,3,COLORADO COUNTY,45903,RICE CISD,TRADITIONAL ISD/CSD,"HEFNER, WILLIAM ARTHUR","$16,304.00","$17,726.00",1306,0.92
TX,11,JOHNSON COUNTY,126901,ALVARADO ISD,TRADITIONAL ISD/CSD,"ESTES, KENNETH R","$13,500.00","$13,500.00",3788,1
TX,6,MONTGOMERY COUNTY,170903,MONTGOMERY ISD,TRADITIONAL ISD/CSD,"RUFFIN, MARK T","$10,958.00","$10,958.00",9889,1
TX,13,HAYS COUNTY,105905,WIMBERLEY ISD,TRADITIONAL ISD/CSD,"BONEWALD, GREGORY JASON","$10,619.00","$10,619.00",2661,1
TX,8,BOWIE COUNTY,19902,HOOKS ISD,TRADITIONAL ISD/CSD,"MINTER, BYRON KEITH","$9,200.00","$9,200.00",914,1
TX,17,LUBBOCK COUNTY,152906,LUBBOCK-COOPER ISD,TRADITIONAL ISD/CSD,"BRYANT, KEITH DALE","$5,788.00","$5,788.00",8030,1
TX,4,BRAZORIA COUNTY,20902,ANGLETON ISD,TRADITIONAL ISD/CSD,"EDWARDS, PHILLIP WILSON",$305.00,$305.00,7105,1
TX,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,"LEFEVRE, DALE KENT",$1.00,$3.00,474,0.35
TX,15,KERR COUNTY,133905,DIVIDE ISD,TRADITIONAL ISD/CSD,"YESCHKE, CHRIS",$1.00,$1.00,35,1
TX,11,HOOD COUNTY,111902,LIPAN ISD,TRADITIONAL ISD/CSD,"DOBBS, JIMMIE DONALD",$1.00,$1.00,478,1
TX,17,LUBBOCK COUNTY,152504,TEXAS TECH UNIVERSITY K-12,TRADITIONAL ISD/CSD,"MOYE, CARI",$0.00,$0.00,729,1
TX,1,HIDALGO COUNTY,108908,MISSION CISD,TRADITIONAL ISD/CSD,"PEREZ, CAROLINA G","$317,064.00",,13765,0.29
TX,17,DICKENS COUNTY,63906,PATTON SPRINGS ISD,TRADITIONAL ISD/CSD,"WHITE, BRYAN K","$95,000.00",,88,0.12
